odor,mouse_id,bootstrap,MI_noisy,MI_denoised
33 Dimethyl Butyric Acid,0,8,1.20362,2.38414
33 Dimethyl Butyric Acid,0,9,1.02880,2.34318
33 Dimethyl Butyric Acid,0,10,1.13482,2.36898
33 Dimethyl Butyric Acid,0,11,1.25975,2.36967
33 Dimethyl Butyric Acid,0,12,1.12098,2.36583
33 Dimethyl Butyric Acid,0,13,1.25716,2.35235
33 Dimethyl Butyric Acid,0,14,1.35457,2.41799
33 Dimethyl Butyric Acid,1,0,1.25926,2.12965
33 Dimethyl Butyric Acid,1,1,1.34070,2.23506
33 Dimethyl Butyric Acid,1,2,1.24259,2.25271
33 Dimethyl Butyric Acid,1,3,1.39389,2.21291
33 Dimethyl Butyric Acid,1,4,1.26933,2.22916
33 Dimethyl Butyric Acid,1,5,1.19220,2.17298
33 Dimethyl Butyric Acid,1,6,1.29283,2.27809
33 Dimethyl Butyric Acid,1,7,1.33700,2.15686
33 Dimethyl Butyric Acid,1,8,1.31503,2.19105
33 Dimethyl Butyric Acid,1,9,1.23540,2.35271
33 Dimethyl Butyric Acid,1,10,1.27608,2.23808
33 Dimethyl Butyric Acid,1,11,1.15712,2.25218
33 Dimethyl Butyric Acid,1,12,1.38003,2.26487
33 Dimethyl Butyric Acid,1,13,1.31031,2.13504
33 Dimethyl Butyric Acid,1,14,1.18553,2.24341
2 Methyl Butyraldehyde,0,0,1.19931,2.57081
2 Methyl Butyraldehyde,0,1,1.25966,2.52065
2 Methyl Butyraldehyde,0,2,1.35415,2.51864
2 Methyl Butyraldehyde,0,3,1.02765,2.52874
2 Methyl Butyraldehyde,0,4,1.24965,2.52700
2 Methyl Butyraldehyde,0,5,1.32038,2.45162
2 Methyl Butyraldehyde,0,6,1.02698,2.52606
2 Methyl Butyraldehyde,0,7,1.25102,2.52563
2 Methyl Butyraldehyde,0,8,1.24620,2.52232
2 Methyl Butyraldehyde,0,9,1.16926,2.49281
2 Methyl Butyraldehyde,0,10,1.24917,2.54837
2 Methyl Butyraldehyde,0,11,0.91295,2.58172
2 Methyl Butyraldehyde,0,12,1.16968,2.61165
2 Methyl Butyraldehyde,0,13,1.36925,2.53835
2 Methyl Butyraldehyde,0,14,1.10008,2.55699
2 Methyl Butyraldehyde,1,0,1.23118,2.45171
2 Methyl Butyraldehyde,1,1,1.18615,2.41749
2 Methyl Butyraldehyde,1,2,1.18870,2.48966
2 Methyl Butyraldehyde,1,3,1.08984,2.38107
2 Methyl Butyraldehyde,1,4,1.32629,2.48943
