epoch,odor_id,odor_name,mouse_id,trial,R_local
0,7,33 Dimethyl Butyric Acid,0,7,0.2833949550833994
0,7,33 Dimethyl Butyric Acid,0,8,0.2474050154308132
0,7,33 Dimethyl Butyric Acid,0,9,0.26872401481055275
0,7,33 Dimethyl Butyric Acid,0,10,0.25482716077849216
0,7,33 Dimethyl Butyric Acid,0,11,0.28613108973509344
0,7,33 Dimethyl Butyric Acid,0,12,0.21959245625093046
0,7,33 Dimethyl Butyric Acid,0,13,0.23121978208955607
0,7,33 Dimethyl Butyric Acid,0,14,0.37507147638632765
0,7,33 Dimethyl Butyric Acid,1,0,0.19485550598949944
0,7,33 Dimethyl Butyric Acid,1,1,0.2024809861022751
0,7,33 Dimethyl Butyric Acid,1,2,0.31982895037331327
0,7,33 Dimethyl Butyric Acid,1,3,0.36255509601007696
0,7,33 Dimethyl Butyric Acid,1,4,0.19948974408744702
0,7,33 Dimethyl Butyric Acid,1,5,0.23162245096893946
0,7,33 Dimethyl Butyric Acid,1,6,0.26001463127808105
0,7,33 Dimethyl Butyric Acid,1,7,0.3155003150166844
0,7,33 Dimethyl Butyric Acid,1,8,0.20687812610333117
0,7,33 Dimethyl Butyric Acid,1,9,0.2365412954027763
0,7,33 Dimethyl Butyric Acid,1,10,0.2774459122829305
0,7,33 Dimethyl Butyric Acid,1,11,0.2637430522191254
0,7,33 Dimethyl Butyric Acid,1,12,0.23130616639125673
0,7,33 Dimethyl Butyric Acid,1,13,0.24099949065981904
0,7,33 Dimethyl Butyric Acid,1,14,0.1913565769056614
0,8,2 Methyl Butyraldehyde,0,0,0.240664953468585
0,8,2 Methyl Butyraldehyde,0,1,0.2395364036272134
0,8,2 Methyl Butyraldehyde,0,2,0.25947869881262187
0,8,2 Methyl Butyraldehyde,0,3,0.22797881447481094
0,8,2 Methyl Butyraldehyde,0,4,0.26905344412937715
0,8,2 Methyl Butyraldehyde,0,5,0.2907005359403647
0,8,2 Methyl Butyraldehyde,0,6,0.25640907633431026
0,8,2 Methyl Butyraldehyde,0,7,0.2642621595635397
0,8,2 Methyl Butyraldehyde,0,8,0.2523181171306863
0,8,2 Methyl Butyraldehyde,0,9,0.2501952789512282
0,8,2 Methyl Butyraldehyde,0,10,0.22132958188585772
0,8,2 Methyl Butyraldehyde,0,11,0.2628516736945039
0,8,2 Methyl Butyraldehyde,0,12,0.24630043929103201
0,8,2 Methyl Butyraldehyde,0,13,0.3339186355847954
0,8,2 Methyl Butyraldehyde,0,14,0.3131260993265813
0,8,2 Methyl Butyraldehyde,1,0,0.2616069412301998
0,8,2 Methyl Butyraldehyde,1,1,0.21565079074014906
0,8,2 Methyl Butyraldehyde,1,2,0.20167662024860306
0,8,2 Methyl Butyraldehyde,1,3,0.2938187972514944
0,8,2 Methyl Butyraldehyde,1,4,0.2566830481338253
