epoch,odor_id,odor_name,mouse_id,trial,R_global
0,6,4 Heptanone,1,2,0.16709315711207895
0,6,4 Heptanone,1,3,0.1327829540838719
0,6,4 Heptanone,1,4,0.12033120535581907
0,6,4 Heptanone,1,5,0.1311879985284442
0,6,4 Heptanone,1,6,0.1419130571694576
0,6,4 Heptanone,1,7,0.14039697658540104
0,6,4 Heptanone,1,8,0.1113978929423986
0,6,4 Heptanone,1,9,0.13841726112074876
0,6,4 Heptanone,1,10,0.1415849168411626
0,6,4 Heptanone,1,11,0.19423206855615174
0,6,4 Heptanone,1,12,0.1794991307644423
0,6,4 Heptanone,1,13,0.11671366625183785
0,6,4 Heptanone,1,14,0.12972708660885693
0,7,33 Dimethyl Butyric Acid,0,0,0.18191361902883332
0,7,33 Dimethyl Butyric Acid,0,1,0.18939324195977764
0,7,33 Dimethyl Butyric Acid,0,2,0.1971606309647759
0,7,33 Dimethyl Butyric Acid,0,3,0.20479035140076676
0,7,33 Dimethyl Butyric Acid,0,4,0.188207307536799
0,7,33 Dimethyl Butyric Acid,0,5,0.18884954542783053
0,7,33 Dimethyl Butyric Acid,0,6,0.17605282739996303
0,7,33 Dimethyl Butyric Acid,0,7,0.1930616934624738
0,7,33 Dimethyl Butyric Acid,0,8,0.18535055601384545
0,7,33 Dimethyl Butyric Acid,0,9,0.18991832512019294
0,7,33 Dimethyl Butyric Acid,0,10,0.18694081105434082
0,7,33 Dimethyl Butyric Acid,0,11,0.1936479325776497
0,7,33 Dimethyl Butyric Acid,0,12,0.17939148887718315
0,7,33 Dimethyl Butyric Acid,0,13,0.1818827380586801
0,7,33 Dimethyl Butyric Acid,0,14,0.21270413419460718
0,7,33 Dimethyl Butyric Acid,1,0,0.1584535401623747
0,7,33 Dimethyl Butyric Acid,1,1,0.16008736133098478
0,7,33 Dimethyl Butyric Acid,1,2,0.18523011762748437
0,7,33 Dimethyl Butyric Acid,1,3,0.1943845420259571
0,7,33 Dimethyl Butyric Acid,1,4,0.15944646338725085
0,7,33 Dimethyl Butyric Acid,1,5,0.16633115732537665
0,7,33 Dimethyl Butyric Acid,1,6,0.17241441300580948
0,7,33 Dimethyl Butyric Acid,1,7,0.18430267227686237
0,7,33 Dimethyl Butyric Acid,1,8,0.16102948435915077
0,7,33 Dimethyl Butyric Acid,1,9,0.16738505977377963
0,7,33 Dimethyl Butyric Acid,1,10,0.17614920681295604
0,7,33 Dimethyl Butyric Acid,1,11,0.17321325753348213
0,7,33 Dimethyl Butyric Acid,1,12,0.1662633907807551
0,7,33 Dimethyl Butyric Acid,1,13,0.16834026438739472
0,7,33 Dimethyl Butyric Acid,1,14,0.1577038661326618
0,8,2 Methyl Butyraldehyde,0,0,0.15053394124290953
0,8,2 Methyl Butyraldehyde,0,1,0.14999529565466746
0,8,2 Methyl Butyraldehyde,0,2,0.15951355433253475
